tanggal_pemesanan,nomor_kontrak_retail,pelanggan,jenis,nama_proyek,product,area,nilai,status
7/29/2018,SO/False/08-2018/001,Plg 12345678,Perorangan,Pry rdmx0987,K-250,Bandung Timur,99673750,Approved
7/29/2018,SO/RMC/08-2018/3415,Plg 12345687,Perorangan,Pry rdmx0978,K-300 N,Bandung Timur,17325000,Approved
1/5/2019,SO/U1-1/01-2019/1271,Plg 12345768,PT,Pry rdmx0897,K-300,Pulo Gadung,4743750,Approved
1/5/2019,SO/U1-1/01-2019/1272,Plg 12345768,PT,Pry rdmx0897,K-300,Pulo Gadung,4743750,Approved
1/11/2019,SO/U1-1/01-2019/1290,Plg 12345786,Perorangan,Pry rdmx0879,K-350 N,Pulo Gadung,40205000,Approved
1/17/2019,SO/U1-1/01-2019/1295,Plg 12345867,Perorangan,Pry rdmx0798,K-300,Cakung,3121875,Approved
1/19/2019,SO/U1-1/01-2019/1307,Plg 12345876,Perorangan,Pry rdmx0789,K-225,Pulo Gadung,10890000,Approved
1/19/2019,SO/U1-1/01-2019/1308,Plg 12346578,PT,Pry rdmx9087,K-300 N,Pulo Gadung,10587500,Approved
1/22/2019,SO/U1-1/01-2019/1312,Plg 12346587,PT,Pry rdmx9078,K-300,Pulo Gadung,22233750,Approved
1/31/2019,SO/U1-1/01-2019/1322,Plg 12346758,Perorangan,Pry rdmx9807,K-300,Pulo Gadung,23925000,Approved
2/12/2019,SO/U1-1/02-2019/1348,Plg 12346785,Perorangan,Pry rdmx9870,K-300,Cakung,4331250,Approved
2/15/2019,SO/U1-1/02-2019/1356,Plg 12346857,PT,Pry rdmx9708,K-350,Pulo Gadung,31988000,Approved
2/19/2019,SO/U1-1/02-2019/1357,Plg 12345786,Perorangan,Pry rdmx0879,K-300 N,Pulo Gadung,19745000,Approved
2/22/2019,SO/U1-1/02-2019/1365,Plg 12346875,PT,Pry rdmx9780,K-350,Cakung,10518750,Approved
3/1/2019,SO/U1-1/03-2019/1370,Plg 12347568,Perorangan,Pry rdmx0798,K-250,Pulo Gadung,3693750,Approved
3/1/2019,SO/U1-1/03-2019/1371,Plg 12346758,Perorangan,Pry rdmx9807,K-300,Pulo Gadung,23100000,Approved
3/2/2019,SO/U1-1/03-2019/1374,Plg 12347586,PT,Pry rdmx8097,K-250,Pulo Gadung,5845125,Approved
3/3/2019,SO/U1-1/03-2019/1376,Plg 12346758,Perorangan,Pry rdmx0798,K-300,Pulo Gadung,825000,Approved
3/4/2019,SO/U1-1/03-2019/1377,Plg 12347658,Perorangan,Pry rdmx0798,K-300,Cakung,4125000,Approved
3/4/2019,SO/U1-1/03-2019/1378,Plg 12347685,Perorangan,Pry rdmx8079,K-300,Cakung,7000000,Approved
3/8/2019,SO/U1-1/03-2019/1385,Plg 12347856,Perorangan,Pry rdmx8907,K-225,Cakung,6737500,Approved
3/13/2019,SO/U1-1/03-2019/1393,Plg 12347865,PT,Pry rdmx8970,K-250,Cakung,8427375,Approved
3/20/2019,SO/U1-1/03-2019/1403,Plg 12348567,Perorangan,Pry rdmx0798,K-250,Cakung,15287250,Approved
3/20/2019,SO/U1-1/03-2019/1404,Plg 12347865,PT,Pry rdmx8970,K-250,Cakung,28091250,Approved
3/22/2019,SO/U1-1/03-2019/1411,Plg 12348576,Perorangan,Pry rdmx8709,K-300 N,Cakung,48537500,Approved
4/1/2019,SO/U1-1/04-2019/1432,Plg 12348657,Perorangan,Pry rdmx8790,K-350,Pulo Gadung,49929000,Approved
4/4/2019,SO/U1-1/04-2019/1439,Plg 12348675,Perorangan,Pry rdmx0798,K-300,Pulo Gadung,11537500,Approved
4/9/2019,SO/U1-1/04-2019/1442,Plg 12348756,Perorangan,Pry rdmx0798,K-250,Pulo Gadung,6250000,Approved
4/13/2019,SO/U1-1/04-2019/1455,Plg 12346758,Perorangan,Pry rdmx0798,K-300,Cakung,4537500,Approved
4/15/2019,SO/U1-1/04-2019/1458,Plg 12348765,Perorangan,Pry rdmx7098,K-225,Pulo Gadung,3750000,Approved
4/26/2019,SO/U1-1/04-2019/1476,Plg 12354678,CV,Pry rdmx7089,K-225,Pulo Gadung,1256063,Approved
4/29/2019,SO/U1-1/04-2019/1477,Plg 12354678,CV,Pry rdmx7908,K-225,Pulo Gadung,12141938,Approved
4/29/2019,SO/U1-1/04-2019/1484,Plg 12354687,PT,Pry rdmx7980,K-300 N,Cakung,6930000,Approved
5/6/2019,SO/U1-1/05-2019/1491,Plg 12354768,PT,Pry rdmx7809,K-300,Cakung,893750,Approved
5/14/2019,SO/U1-1/05-2019/1494,Plg 12354786,PT,Pry rdmx7890,K-300,Pulo Gadung,33687500,Approved
5/15/2019,SO/U1-1/05-2019/1498,Plg 12354867,Perorangan,Pry rdm0x987,K-250,Pulo Gadung,38500000,Approved
5/26/2019,SO/U1-1/05-2019/1513,Plg 12354876,Perorangan,Pry rdm0x978,K-300,Pulo Gadung,1798500,Approved
5/27/2019,SO/U1-1/05-2019/1514,Plg 12356478,Perorangan,Pry rdm0x897,K-250,Cakung,25000250,Approved
5/28/2019,SO/U1-1/05-2019/1515,Plg 12356487,Perorangan,Pry rdmx0798,K-250,Pulo Gadung,1812250,Approved
5/28/2019,SO/U1-1/05-2019/1516,Plg 12356748,Perorangan,Pry rdm0x879,K-300,Pulo Gadung,24613875,Approved
5/28/2019,SO/U1-1/05-2019/1517,Plg 12356784,PT,Pry rdmx0798,K-225,Pulo Gadung,30900375,Approved
5/28/2019,SO/U1-1/05-2019/1518,Plg 12356847,PT,Pry rdmx0798,K-300 N,Cakung,34548250,Approved
5/28/2019,SO/U1-1/05-2019/1519,Plg 12356874,Perorangan,Pry rdmx0798,K-225,Pulo Gadung,28858500,Approved
7/8/2019,SO/U1-1/07-2019/1535,Plg 12357468,Perorangan,Pry rdmx0798,K-250,Pulo Gadung,10062938,Approved
7/15/2019,SO/U1-1/07-2019/1555,Plg 12357486,Perorangan,Pry rdm0x798,K-400,Pulo Gadung,13035000,Approved
7/15/2019,SO/U1-1/07-2019/1556,Plg 12357486,Perorangan,Pry rdm0x798,K-400,Pulo Gadung,21252000,Approved
7/17/2019,SO/U1-1/07-2019/1562,Plg 12357648,Perorangan,Pry rdmx0798,K-225 N,Cakung,10301500,Approved
7/18/2019,SO/U1-1/07-2019/1563,Plg 12357684,PT,Pry rdm0x789,K-125,Pulo Gadung,4156247,Approved
7/23/2019,SO/U1-1/07-2019/1569,Plg 12357486,Perorangan,Pry rdm0x798,K-400,Pulo Gadung,5156250,Approved
7/27/2019,SO/U1-1/07-2019/1581,Plg 12357846,PT,Pry rdm09x87,K-300,Cakung,9619500,Approved
7/28/2019,SO/U1-1/07-2019/1592,Plg 12357864,PT,Pry rdm09x78,K-225,Pulo Gadung,3498000,Approved
7/28/2019,SO/U1-1/07-2019/1593,Plg 12358467,PT,Pry rdm098x7,K-350,Pulo Gadung,8934750,Approved
7/29/2019,SO/U1-1/07-2019/1594,Plg 12358476,Perorangan,Pry rdmx0798,K-300,Cakung,13750000,Approved
7/29/2019,SO/U1-1/07-2019/1595,Plg 12357486,Perorangan,Pry rdm0x798,K-300,Pulo Gadung,24345750,Approved
7/29/2019,SO/U1-1/07-2019/1598,Plg 12358647,Perorangan,Pry rdm0987x,K-250,Pulo Gadung,6506500,Approved
